date,hit_count,text_count
2016-06-09,1,1
2016-06-17,1,1
2016-07-05,1,1
2016-07-13,1,1
2016-08-17,1,1
2016-09-13,3,3
2016-09-23,2,2
2016-09-30,1,1
2016-10-05,1,1
2016-11-02,2,2
2016-11-08,1,1
2016-11-09,1,1
2016-11-16,1,1
2016-11-19,1,1
2017-02-21,1,1
2017-02-28,1,1
2017-03-07,1,1
2017-03-31,1,1
2017-04-01,1,1
2017-04-08,1,1
2017-04-27,1,1
2017-05-04,1,1
2017-05-27,1,1
2017-05-29,1,1
2017-06-02,2,2
2017-06-03,4,4
2017-06-16,1,1
2017-06-19,1,1
2017-06-21,1,1
2017-06-28,1,1
2017-07-06,1,1
2017-07-07,1,1
2017-07-08,1,1
2017-07-20,1,1
2017-08-08,1,1
2017-08-28,1,1
2017-08-31,1,1
2017-09-05,1,1
2017-09-12,1,1
2017-09-16,1,1
2017-09-22,1,1
2017-10-18,1,1
2017-10-27,1,1
2017-10-28,1,1
2017-11-02,1,1
2017-11-03,1,1
2017-11-07,1,1
2017-11-08,2,2
2017-11-15,1,1
2017-11-16,1,1
2017-11-17,2,2
2017-11-18,4,4
2017-11-20,1,1
2018-01-09,1,1
2018-01-10,3,3
2018-01-19,2,2
2018-02-02,1,1
2018-02-19,2,2
2018-02-22,1,1
2018-02-23,2,2
2018-02-24,1,1
2018-03-21,1,1
2018-03-28,1,1
2018-03-31,1,1
2018-04-14,1,1
2018-04-19,1,1
2018-06-01,1,1
2018-06-02,1,1
2018-06-07,1,1
2018-06-08,2,2
2018-06-09,1,1
2018-06-13,3,3
2018-06-14,1,1
2018-06-20,1,1
2018-06-21,1,1
2018-06-25,1,1
2018-06-27,1,1
2018-08-03,1,1
2018-08-06,1,1
2018-08-11,1,1
2018-08-22,1,1
2018-08-23,1,1
2018-09-06,1,1
2018-09-14,2,2
2018-09-29,2,2
2018-10-08,1,1
2018-10-09,1,1
2018-10-10,1,1
2018-10-13,1,1
2018-10-16,1,1
2018-11-07,2,2
2018-11-15,1,1
2018-11-16,1,1
2018-11-19,1,1
2018-11-27,1,1
2018-12-03,1,1
2018-12-04,1,1
2018-12-08,1,1
2018-12-17,4,4
2019-01-11,1,1
2019-01-17,1,1
2019-01-19,1,1
2019-01-22,1,1
2019-01-24,1,1
2019-01-25,2,2
2019-01-28,2,2
2019-01-31,2,2
2019-02-08,1,1
2019-02-11,1,1
2019-02-13,1,1
2019-02-16,1,1
2019-02-25,1,1
2019-03-02,1,1
2019-03-04,1,1
2019-03-06,1,1
2019-03-08,1,1
2019-03-09,2,2
2019-03-12,3,3
2019-03-14,2,2
2019-03-16,1,1
2019-03-21,1,1
2019-03-26,1,1
2019-03-27,2,2
2019-03-28,1,1
2019-03-29,1,1
2019-04-02,1,1
2019-04-08,1,1
2019-04-12,1,1
2019-04-13,1,1
2019-04-20,1,1
2019-04-24,1,1
2019-04-30,2,2
2019-05-04,2,2
2019-05-10,3,3
2019-05-11,3,3
2019-05-14,1,1
2019-05-23,2,2
2019-05-25,1,1
2019-05-27,2,2
2019-05-28,1,1
2019-05-29,1,1
2019-05-31,1,1
2019-06-01,1,1
2019-06-05,3,3
2019-06-06,2,2
2019-06-07,1,1
2019-06-12,1,1
2019-06-13,1,1
2019-06-15,2,2
2019-06-17,1,1
2019-06-18,1,1
2019-06-24,3,3
2019-06-25,2,2
2019-06-29,1,1
2019-07-01,1,1
2019-07-06,1,1
2019-07-09,1,1
2019-07-10,1,1
2019-07-15,1,1
2019-07-16,2,2
2019-07-17,2,2
2019-07-19,1,1
2019-07-20,2,2
2019-07-22,1,1
2019-07-24,1,1
2019-07-26,1,1
2019-07-27,1,1
2019-07-29,1,1
2019-08-03,1,1
2019-08-07,1,1
2019-08-08,2,2
2019-08-09,2,2
2019-08-14,1,1
2019-08-15,1,1
2019-08-16,1,1
2019-08-21,3,3
2019-08-22,2,2
2019-08-26,1,1
2019-08-27,1,1
2019-08-28,2,2
2019-08-29,1,1
2019-08-30,2,2
2019-08-31,1,1
2019-09-03,1,1
2019-09-04,1,1
2019-09-11,1,1
2019-09-12,2,2
2019-09-13,1,1
2019-09-14,1,1
2019-09-16,1,1
2019-09-17,5,5
2019-09-18,1,1
2019-09-20,5,5
2019-09-21,3,3
2019-09-24,2,2
2019-09-25,3,3
2019-09-30,2,2
2019-10-01,1,1
2019-10-04,1,1
2019-10-05,2,2
2019-10-07,1,1
2019-10-08,1,1
2019-10-10,4,4
2019-10-17,1,1
2019-10-22,1,1
2019-10-24,1,1
2019-10-25,1,1
2019-10-26,1,1
2019-11-11,2,2
2019-11-16,2,2
2019-11-21,1,1
2019-11-27,1,1
2019-11-28,1,1
2019-11-30,2,2
2019-12-03,2,2
2019-12-09,1,1
2019-12-10,4,4
2019-12-11,1,1
2019-12-12,3,3
2019-12-13,1,1
2019-12-14,3,3
2019-12-16,2,2
2019-12-17,3,3
2019-12-20,2,2
2019-12-23,1,1
2019-12-28,1,1
2019-12-30,2,2
2020-01-03,2,2
2020-01-04,1,1
2020-01-06,1,1
2020-01-08,1,1
2020-01-10,1,1
2020-01-11,1,1
2020-01-14,1,1
2020-01-15,2,2
2020-01-16,1,1
2020-01-20,2,2
2020-01-24,2,2
2020-01-25,1,1
2020-01-27,1,1
2020-01-28,1,1
2020-02-03,2,2
2020-02-04,1,1
2020-02-07,1,1
2020-02-08,1,1
2020-02-17,1,1
2020-02-19,3,3
2020-02-22,2,2
2020-02-27,2,2
2020-02-28,1,1
2020-03-02,1,1
2020-03-04,1,1
2020-03-05,1,1
2020-03-10,1,1
2020-03-12,3,3
2020-03-18,1,1
2020-03-27,1,1
2020-04-15,1,1
2020-04-17,1,1
2020-04-22,1,1
2020-04-23,1,1
2020-04-24,1,1
2020-04-25,1,1
2020-05-08,1,1
2020-05-26,1,1
2020-05-28,1,1
2020-06-02,1,1
2020-06-08,1,1
2020-06-12,2,2
2020-06-13,1,1
2020-06-20,1,1
2020-06-25,1,1
2020-07-06,1,1
2020-07-09,1,1
2020-07-14,2,2
2020-07-22,1,1
2020-07-28,1,1
2020-08-06,1,1
2020-08-28,1,1
2020-09-02,2,2
2020-09-08,1,1
2020-09-09,1,1
2020-09-17,1,1
2020-09-25,3,3
2020-09-26,1,1
2020-09-28,1,1
2020-10-02,1,1
2020-10-05,1,1
2020-10-08,1,1
2020-10-09,1,1
2020-10-15,2,2
2020-10-19,1,1
2020-10-23,1,1
2020-10-28,2,2
2020-10-30,1,1
2020-11-04,1,1
2020-11-06,3,3
2020-11-19,1,1
2020-11-23,1,1
2020-12-01,3,3
2020-12-08,3,3
2020-12-10,2,2
2020-12-11,3,3
2020-12-14,2,2
2020-12-15,1,1
2020-12-24,1,1
2020-12-28,1,1
2020-12-30,1,1
2021-01-11,1,1
2021-01-18,1,1
2021-01-22,1,1
2021-01-25,1,1
2021-01-29,3,3
2021-02-04,1,1
2021-02-08,2,2
2021-02-15,2,2
2021-02-17,2,2
2021-02-18,1,1
2021-02-19,5,5
2021-02-20,5,5
2021-02-25,1,1
2021-03-02,1,1
2021-03-04,2,2
2021-03-06,1,1
2021-03-10,1,1
2021-03-11,1,1
2021-03-12,1,1
2021-03-13,1,1
2021-03-15,1,1
2021-03-16,2,2
2021-03-17,2,2
2021-03-19,1,1
2021-03-20,2,2
2021-03-22,2,2
2021-03-23,1,1
2021-03-24,1,1
2021-03-25,1,1
2021-03-27,3,3
2021-03-29,2,2
2021-03-30,2,2
2021-04-06,1,1
2021-04-09,1,1
2021-04-12,1,1
2021-04-17,1,1
2021-04-19,1,1
2021-04-21,1,1
2021-04-22,3,3
2021-04-23,2,2
2021-04-24,1,1
2021-04-28,2,2
2021-04-29,1,1
2021-04-30,2,2
2021-05-03,1,1
2021-05-04,4,4
2021-05-05,1,1
2021-05-06,1,1
2021-05-07,5,5
2021-05-08,1,1
2021-05-10,4,4
2021-05-11,1,1
2021-05-12,1,1
2021-05-14,2,2
2021-05-15,2,2
2021-05-17,2,2
2021-05-21,2,2
2021-05-26,4,4
2021-05-27,3,3
2021-05-29,1,1
2021-05-31,1,1
2021-06-02,4,4
2021-06-04,1,1
2021-06-05,1,1
2021-06-07,2,2
2021-06-10,1,1
2021-06-11,1,1
2021-06-14,3,3
2021-06-15,2,2
2021-06-16,1,1
2021-06-17,1,1
2021-06-19,2,2
2021-06-22,1,1
2021-06-23,4,4
2021-06-25,3,3
2021-06-30,1,1
2021-07-01,1,1
2021-07-02,1,1
2021-07-03,2,2
2021-07-05,2,2
2021-07-09,1,1
2021-07-10,1,1
2021-07-12,1,1
2021-07-13,1,1
2021-07-14,2,2
2021-07-15,4,4
2021-07-16,1,1
2021-07-17,1,1
2021-07-21,1,1
2021-07-22,1,1
2021-07-24,2,2
2021-07-26,1,1
2021-07-28,2,2
2021-07-30,1,1
2021-07-31,1,1
2021-08-04,1,1
2021-08-05,1,1
2021-08-06,2,2
2021-08-07,1,1
2021-08-09,2,2
2021-08-10,2,2
2021-08-11,2,2
2021-08-13,1,1
2021-08-16,1,1
2021-08-17,1,1
2021-08-19,1,1
2021-08-21,4,4
2021-08-23,3,3
2021-08-24,1,1
2021-08-25,2,2
2021-08-26,2,2
2021-08-27,1,1
2021-08-31,3,3
2021-09-03,2,2
2021-09-04,3,3
2021-09-06,2,2
2021-09-07,1,1
2021-09-08,1,1
2021-09-10,3,3
2021-09-14,3,3
2021-09-15,2,2
2021-09-16,4,4
2021-09-18,3,3
2021-09-20,1,1
2021-09-22,3,3
2021-09-23,1,1
2021-09-25,1,1
2021-09-28,1,1
2021-09-29,3,3
2021-09-30,1,1
2021-10-01,1,1
2021-10-02,1,1
2021-10-04,2,2
2021-10-05,1,1
2021-10-08,2,2
2021-10-11,3,3
2021-10-12,1,1
2021-10-14,1,1
2021-10-16,2,2
2021-10-19,1,1
2021-10-22,1,1
2021-10-25,1,1
2021-10-26,2,2
2021-10-28,1,1
2021-10-29,2,2
2021-10-30,1,1
2021-11-02,2,2
2021-11-04,2,2
2021-11-05,3,3
2021-11-06,3,3
2021-11-08,2,2
2021-11-10,2,2
2021-11-11,4,4
2021-11-12,4,4
2021-11-13,1,1
2021-11-15,3,3
2021-11-16,2,2
2021-11-17,1,1
2021-11-18,1,1
2021-11-20,1,1
2021-11-22,1,1
2021-11-24,2,2
2021-11-25,3,3
2021-11-26,1,1
2021-11-27,1,1
2021-11-29,1,1
2021-11-30,1,1
2021-12-02,1,1
2021-12-03,1,1
2021-12-06,2,2
2021-12-07,3,3
2021-12-10,1,1
2021-12-15,1,1
2021-12-16,1,1
2021-12-18,1,1
2021-12-20,1,1
2021-12-23,1,1
2021-12-29,1,1
2022-01-03,2,2
2022-01-04,1,1
2022-01-05,1,1
2022-01-06,1,1
2022-01-10,1,1
2022-01-11,1,1
2022-01-12,4,4
2022-01-13,1,1
2022-01-14,1,1
2022-01-17,3,3
2022-01-18,3,3
2022-01-21,1,1
2022-01-24,1,1
2022-01-25,1,1
2022-01-27,1,1
2022-01-28,1,1
2022-01-31,1,1
2022-02-09,1,1
2022-02-10,3,3
2022-02-12,1,1
2022-02-14,4,4
2022-02-21,2,2
2022-03-01,2,2
2022-03-03,1,1
2022-03-05,1,1
2022-03-08,2,2
2022-03-09,1,1
2022-03-11,3,3
2022-03-12,2,2
2022-03-14,2,2
2022-03-15,1,1
2022-03-16,1,1
2022-03-21,1,1
2022-03-23,2,2
2022-03-25,2,2
2022-03-28,1,1
2022-04-04,1,1
2022-04-06,1,1
2022-04-08,1,1
2022-04-19,1,1
2022-04-21,1,1
2022-04-30,1,1
2022-05-02,1,1
2022-05-06,1,1
2022-05-07,2,2
2022-05-11,3,3
2022-05-12,2,2
2022-05-14,1,1
2022-05-16,2,2
2022-05-19,2,2
2022-05-20,1,1
2022-05-21,1,1
2022-05-28,1,1
2022-05-30,1,1
2022-06-02,1,1
2022-06-04,1,1
2022-06-09,2,2
2022-06-10,1,1
2022-06-11,2,2
2022-06-13,2,2
2022-06-14,1,1
2022-06-15,3,3
2022-06-22,1,1
2022-06-23,1,1
2022-06-25,1,1
2022-06-27,1,1
2022-06-28,2,2
2022-06-29,4,4
2022-06-30,1,1
2022-07-04,4,4
2022-07-06,3,3
2022-07-07,2,2
2022-07-08,3,3
2022-07-14,3,3
2022-07-15,3,3
2022-07-16,2,2
2022-07-19,1,1
2022-07-21,1,1
2022-07-25,1,1
2022-07-26,1,1
2022-07-27,1,1
2022-07-29,1,1
2022-07-30,1,1
2022-08-01,2,2
2022-08-02,1,1
2022-08-03,1,1
2022-08-06,1,1
2022-08-08,1,1
2022-08-09,1,1
2022-08-10,1,1
2022-08-11,1,1
2022-08-12,1,1
2022-08-19,2,2
2022-08-22,1,1
2022-08-23,2,2
2022-08-24,1,1
2022-08-30,2,2
2022-09-05,1,1
2022-09-07,1,1
2022-09-12,1,1
2022-09-14,1,1
2022-09-17,1,1
2022-09-23,1,1
2022-09-26,1,1
2022-09-29,1,1
2022-10-05,3,3
2022-10-10,1,1
2022-10-13,2,2
2022-10-14,2,2
2022-10-15,1,1
2022-10-17,1,1
2022-10-24,2,2
2022-10-25,1,1
2022-10-29,1,1
2022-11-02,1,1
2022-11-04,1,1
2022-11-05,2,2
2022-11-07,2,2
2022-11-08,2,2
2022-11-09,1,1
2022-11-11,2,2
2022-11-12,1,1
2022-11-16,1,1
2022-11-18,2,2
2022-11-19,3,3
2022-11-21,1,1
2022-11-23,1,1
2022-11-24,2,2
2022-11-25,1,1
2022-11-30,4,4
2022-12-02,1,1
2022-12-05,1,1
2022-12-09,1,1
2022-12-10,1,1
2022-12-12,3,3
2022-12-13,1,1
2022-12-14,2,2
2022-12-16,1,1
2022-12-20,1,1
2022-12-21,1,1
2022-12-23,1,1
2022-12-27,1,1
2022-12-30,1,1
